"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","spin_axis","delta_home_win_exp","delta_run_exp"
"SI","2022-10-03","93.3","-1.98","6.01","Keller, Mitch",660766,656605,"single","hit_into_play",,,,,1,"Juan Yepez singles on a line drive to left fielder Miguel Andujar.   Corey Dickerson to 2nd.","R","R","R","PIT","STL","X",7,"line_drive",1,0,2022,"-1.4","0.65","-0.51","2.83",,,572816,0,6,"Top",95.05,108.71,,,641511,,,6.878245949937283,-135.79923711625213,-3.9011218888203794,-18.84618236706708,27.572561050203596,-23.48675855162263,"3.3","1.63",240,"82.2",19,"93.8",2393,"6.4",662309,656605,641511,660636,666801,663647,621028,609280,668804,669261,"54.12",0.883,0.846,"0.9",1,1,0,4,41,2,"Sinker",0,2,2,0,2,0,2,0,"Standard","Standard",215,"-0.035","0.623"
"SI","2022-10-03","93","-2.04","5.99","Keller, Mitch",660766,656605,,"ball",,,,,14,"Juan Yepez singles on a line drive to left fielder Miguel Andujar.   Corey Dickerson to 2nd.","R","R","R","PIT","STL","B",,,0,0,2022,"-1.19","1.01","1.41","0.91",,,572816,0,6,"Top",,,,,641511,,,11.438922872124456,-134.8135410295814,-9.480737538197273,-16.937046300103795,27.031528098128643,-17.894233259948635,"3.2","1.58",,,,"93.2",2375,"6.4",662309,656605,641511,660636,666801,663647,621028,609280,668804,669261,"54.07",,,,,,,,41,1,"Sinker",0,2,2,0,2,0,2,0,"Standard","Standard",218,"0","0.059"
"CH","2022-10-03","90.8","-2.03","6.1","Keller, Mitch",572816,656605,"single","hit_into_play",,,,,8,"Corey Dickerson singles on a ground ball to left fielder Miguel Andujar.","R","L","R","PIT","STL","X",7,"ground_ball",0,0,2022,"-1.25","0.56","-0.21","1.61",,,,0,6,"Top",90.15,113.64,,,641511,,,7.210778764066349,-131.9683304304454,-6.5158102633826385,-16.12395083698607,28.171598217102215,-24.377196361180015,"3.53","1.63",60,"92.7",2,"90.7",1678,"6.3",662309,656605,641511,660636,666801,663647,621028,609280,668804,669261,"54.22",0.374,0.337,"0.9",1,1,0,2,40,1,"Changeup",0,2,2,0,2,0,2,0,"Standard","Standard",233,"-0.024","0.395"
"CU","2022-10-03","76.5","-1.68","6.18","Keller, Mitch",405395,656605,"home_run","hit_into_play",,,,,5,"Albert Pujols homers (24) on a fly ball to left field.   Paul Goldschmidt scores.","R","R","R","PIT","STL","X",,"fly_ball",2,2,2022,"1.06","-1.21","-0.09","2.64",,,502671,0,6,"Top",24.67,92.64,,,641511,,,1.4393858850374852,-111.33159449242893,1.8034427253325995,8.41821366872771,22.23365337145612,-42.75923685298151,"3.36","1.7",361,"99.4",25,"76.2",2592,"6.3",662309,656605,641511,660636,666801,663647,621028,609280,668804,669261,"54.21",0.477,0.725,"2",1,0,3,6,39,5,"Curveball",0,0,0,0,2,0,2,0,"Standard","Standard",31,"-0.236","1.606"
"ST","2022-10-03","83.4","-1.94","5.99","Keller, Mitch",405395,656605,,"ball",,,,,14,"Albert Pujols homers (24) on a fly ball to left field.   Paul Goldschmidt scores.","R","R","R","PIT","STL","B",,,1,2,2022,"1.76","-0.29","2.11","1.44",,,502671,0,6,"Top",,,,,641511,,,5.830448440999641,-121.21157412694724,-3.3466729227007876,15.898633184119056,27.135936775681905,-34.45300638803168,"3.33","1.65",,,,"82.9",2814,"6.3",662309,656605,641511,660636,666801,663647,621028,609280,668804,669261,"54.17",,,,,,,,39,4,"Sweeper",0,0,0,0,0,0,0,0,"Standard","Standard",43,"0","0.084"
"ST","2022-10-03","82.6","-1.96","6","Keller, Mitch",405395,656605,,"foul",,,,,14,"Albert Pujols homers (24) on a fly ball to left field.   Paul Goldschmidt scores.","R","R","R","PIT","STL","S",,,1,1,2022,"1.52","-0.15","1.18","2.43",,,502671,0,6,"Top",,,,,641511,,,4.178364866548752,-120.12324875552636,-1.1949411027682322,13.534305750539668,27.25211772870867,-33.61452487725318,"3.36","1.7",4,"66.4",-33,"82",2687,"6.3",662309,656605,641511,660636,666801,663647,621028,609280,668804,669261,"54.22",,,,,,,,39,3,"Sweeper",0,0,0,0,0,0,0,0,"Standard","Standard",52,"0","-0.088"
"SI","2022-10-03","93.4","-2.11","5.93","Keller, Mitch",405395,656605,,"ball",,,,,7,"Albert Pujols homers (24) on a fly ball to left field.   Paul Goldschmidt scores.","R","R","R","PIT","STL","B",,,0,1,2022,"-1.36","0.86","-0.7","1.75",,,502671,0,6,"Top",,,,,641511,,,6.620185950288931,-135.706718997527,-6.857145850543578,-18.29782747088625,30.06561327732944,-20.17002561510721,"3.41","1.75",,,,"93.1",2434,"6.2",662309,656605,641511,660636,666801,663647,621028,609280,668804,669261,"54.27",,,,,,,,39,2,"Sinker",0,0,0,0,0,0,0,0,"Standard","Standard",215,"0","0.051"
"SI","2022-10-03","91.9","-1.99","5.99","Keller, Mitch",405395,656605,,"called_strike",,,,,9,"Albert Pujols homers (24) on a fly ball to left field.   Paul Goldschmidt scores.","R","R","R","PIT","STL","S",,,0,0,2022,"-1.29","0.92","0.35","1.77",,,502671,0,6,"Top",,,,,641511,,,8.696298291412967,-133.51953085087362,-6.816894495797794,-17.27230166089769,28.463998315596537,-19.854994801053614,"3.48","1.67",,,,"91.8",2290,"6.3",662309,656605,641511,660636,666801,663647,621028,609280,668804,669261,"54.23",,,,,,,,39,1,"Sinker",0,0,0,0,0,0,0,0,"Standard","Standard",217,"0","-0.066"
"FF","2022-10-03","93.7","-2.26","6.03","Keller, Mitch",502671,656605,"single","hit_into_play",,,,,11,"Paul Goldschmidt singles on a ground ball to left fielder Miguel Andujar.","R","R","R","PIT","STL","X",7,"ground_ball",1,2,2022,"-0.91","1.25","-0.43","4.03",,,,0,6,"Top",91.05,135.94,,,641511,,,6.704562927576584,-136.36430385627276,-2.220061400698956,-12.799365944289509,28.456423562667634,-16.294487618455523,"3.38","1.62",57,"91.4",0,"93.7",2541,"6.2",662309,656605,641511,660636,666801,663647,621028,609280,668804,669261,"54.31",0.289,0.26,"0.9",1,1,0,2,38,4,"4-Seam Fastball",0,0,0,0,0,0,0,0,"Standard","Standard",215,"-0.053","0.458"
"ST","2022-10-03","81.3","-2.15","5.99","Keller, Mitch",502671,656605,,"swinging_strike",,,,,12,"Paul Goldschmidt singles on a ground ball to left fielder Miguel Andujar.","R","R","R","PIT","STL","S",,,1,1,2022,"1.82","0.01","0.97","2.8",,,,0,6,"Top",,,,,641511,,,3.49824809352337,-118.32777275931711,-0.5353534873615543,16.305361412339366,23.709529325742324,-32.23140556619708,"3.38","1.62",,,,"81.1",2776,"6.3",662309,656605,641511,660636,666801,663647,621028,609280,668804,669261,"54.23",,,,,,,,38,3,"Sweeper",0,0,0,0,0,0,0,0,"Standard","Standard",57,"0","-0.054"
