"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","spin_axis","delta_home_win_exp","delta_run_exp"
"FF","2022-10-03","90.9","-2.68","5.82","Kremer, Dean",656305,665152,"field_out","hit_into_play",,,,,12,"Matt Chapman pops out to shortstop Jorge Mateo.","R","R","R","BAL","TOR","X",6,"popup",1,2,2022,"-0.93","1.35","0.3","3.68",,,606192,2,6,"Top",112.6,147.54,,,668939,,,9.446149086290939,-131.97961436495726,-2.262009710163713,-12.968115433259536,30.352453363037156,-16.204892523496056,"3.37","1.59",158,"93.5",60,"90.3",2089,"6.2",663273,665152,668939,663624,596059,683002,622761,679631,656775,669065,"54.26",0.003,0.003,"0",1,0,0,3,46,5,"4-Seam Fastball",1,4,4,1,4,1,4,1,"Standard","Standard",220,"0.011","-0.159"
"FC","2022-10-03","86.9","-2.47","6.23","Kremer, Dean",656305,665152,,"foul",,,,,12,"Matt Chapman pops out to shortstop Jorge Mateo.","R","R","R","BAL","TOR","S",,,1,2,2022,"0.26","0.54","1.02","3.09",,,606192,2,6,"Top",,,,,668939,,,7.806018067529971,-126.39723853986843,-2.4894629015889995,1.3153705454766786,23.675781710701553,-26.081891796061488,"3.37","1.59",217,"78.9",53,"86.9",2271,"6.1",663273,665152,668939,663624,596059,683002,622761,679631,656775,669065,"54.37",,,,,,,,46,4,"Cutter",1,4,4,1,4,1,4,1,"Standard","Standard",181,"0","0"
"FF","2022-10-03","91.6","-2.71","5.95","Kremer, Dean",656305,665152,,"called_strike",,,,,3,"Matt Chapman pops out to shortstop Jorge Mateo.","R","R","R","BAL","TOR","S",,,1,1,2022,"-0.79","1.2","0.59","3.52",,,606192,2,6,"Top",,,,,668939,,,10.004078334366426,-133.06776695279578,-2.848419924893967,-11.525078259865252,28.539626023884892,-17.4311310647734,"3.61","1.72",,,,"91.2",2117,"6.1",663273,665152,668939,663624,596059,683002,622761,679631,656775,669065,"54.36",,,,,,,,46,3,"4-Seam Fastball",1,4,4,1,4,1,4,1,"Standard","Standard",213,"0","-0.051"
"FC","2022-10-03","86.3","-2.55","6.28","Kremer, Dean",656305,665152,,"ball",,,,,14,"Matt Chapman pops out to shortstop Jorge Mateo.","R","R","R","BAL","TOR","B",,,0,1,2022,"0.34","0.68","1.72","2.41",,,606192,2,6,"Top",,,,,668939,,,9.431800155806148,-125.33408543395022,-4.338724191835069,1.7749922447500028,23.85710071852484,-24.35440590109775,"3.61","1.75",,,,"86.2",2349,"6.2",663273,665152,668939,663624,596059,683002,622761,679631,656775,669065,"54.33",,,,,,,,46,2,"Cutter",1,4,4,1,4,1,4,1,"Standard","Standard",179,"0","0.026"
"FC","2022-10-03","86.9","-2.65","6.25","Kremer, Dean",656305,665152,,"foul",,,,,14,"Matt Chapman pops out to shortstop Jorge Mateo.","R","R","R","BAL","TOR","S",,,0,0,2022,"0.43","0.91","0.84","2.42",,,606192,2,6,"Top",,,,,668939,,,7.439065521698542,-126.37050603210061,-4.882624088388661,3.3303546971939713,23.159482296857504,-21.660684727053518,"3.37","1.59",139,"67.3",65,"87",2372,"6.2",663273,665152,668939,663624,596059,683002,622761,679631,656775,669065,"54.32",,,,,,,,46,1,"Cutter",1,4,4,1,4,1,4,1,"Standard","Standard",179,"0","-0.035"
"CU","2022-10-03","76.4","-2.4","6.26","Kremer, Dean",606192,665152,"single","hit_into_play",,,,,5,"Teoscar Hernandez singles on a ground ball to third baseman Gunnar Henderson.","R","R","R","BAL","TOR","X",5,"ground_ball",0,0,2022,"0.85","-1.25","-0.2","2.8",,,,2,6,"Top",76.87,159.95,,,668939,,,3.090240338412319,-111.14303939037606,2.0873398293472114,6.3823128306665105,22.35990522553071,-43.11353908494006,"3.41","1.62",98,"79.5",9,"75.9",2524,"6.2",663273,665152,668939,663624,596059,683002,622761,679631,656775,669065,"54.28",0.371,0.348,"0.9",1,1,0,4,45,1,"Curveball",1,4,4,1,4,1,4,1,"Standard","Standard",44,"-0.006","0.118"
"FF","2022-10-03","92.1","-2.83","5.94","Kremer, Dean",672386,665152,"strikeout","swinging_strike",,,,,11,"Alejandro Kirk strikes out swinging.","R","R","R","BAL","TOR","S",2,,2,2,2022,"-0.75","1.49","-0.32","3.29",,,,1,6,"Top",,,,,668939,,,7.974512317889427,-133.80742990473692,-4.075817317615874,-10.769812213938541,31.03992189862693,-13.653062682937936,"3.03","1.44",,,,"91.6",2208,"6.2",663273,665152,668939,663624,596059,683002,622761,679631,656775,669065,"54.27",,,"0",1,0,0,,44,5,"4-Seam Fastball",1,4,4,1,4,1,4,1,"Standard","Standard",212,"0.008","-0.134"
"CU","2022-10-03","75.9","-2.42","6.36","Kremer, Dean",672386,665152,,"ball",,,,,11,"Alejandro Kirk strikes out swinging.","R","R","R","BAL","TOR","B",,,1,2,2022,"0.92","-1.03","-1.09","4.12",,,,1,6,"Top",,,,,668939,,,1.1254261672946504,-110.26364129265741,4.316919478615615,7.177992782036593,22.343283067834356,-41.59931623338991,"3.09","1.62",,,,"74.9",2516,"6",663273,665152,668939,663624,596059,683002,622761,679631,656775,669065,"54.54",,,,,,,,44,4,"Curveball",1,4,4,1,4,1,4,1,"Standard","Standard",46,"0","0.023"
"FF","2022-10-03","91.7","-2.7","6.07","Kremer, Dean",672386,665152,,"ball",,,,,11,"Alejandro Kirk strikes out swinging.","R","R","R","BAL","TOR","B",,,0,2,2022,"-1.03","1.42","-0.81","4.13",,,,1,6,"Top",,,,,668939,,,6.975797508292143,-133.24671739244855,-2.0414804075362647,-13.782957719699404,31.083141687889004,-15.165019872647637,"3.18","1.64",,,,"91",2087,"6.2",663273,665152,668939,663624,596059,683002,622761,679631,656775,669065,"54.34",,,,,,,,44,3,"4-Seam Fastball",1,4,4,1,4,1,4,1,"Standard","Standard",219,"0","0.011"
"FC","2022-10-03","86.7","-2.58","6.34","Kremer, Dean",672386,665152,,"foul",,,,,3,"Alejandro Kirk strikes out swinging.","R","R","R","BAL","TOR","S",,,0,1,2022,"0.32","1.05","0.39","2.58",,,,1,6,"Top",,,,,668939,,,6.396159674048733,-126.16853319203872,-4.908051248531458,2.1753468326269454,25.287204812751153,-20.121470252458618,"3.03","1.44",216,"72.1",30,"86.1",2334,"5.9",663273,665152,668939,663624,596059,683002,622761,679631,656775,669065,"54.65",,,,,,,,44,2,"Cutter",1,4,4,1,4,1,4,1,"Standard","Standard",178,"0","-0.031"
"CU","2022-10-03","73.6","-2.38","6.34","Kremer, Dean",672386,665152,,"foul",,,,,5,"Alejandro Kirk strikes out swinging.","R","R","R","BAL","TOR","S",,,0,0,2022,"0.99","-1.33","0.16","2.19",,,,1,6,"Top",,,,,668939,,,3.4230578825685916,-106.98572124684644,1.348013076525474,6.775625086028952,22.01410792659791,-42.79332473538837,"3.03","1.44",2,"62.5",-46,"72.8",2631,"6.2",663273,665152,668939,663624,596059,683002,622761,679631,656775,669065,"54.3",,,,,,,,44,1,"Curveball",1,4,4,1,4,1,4,1,"Standard","Standard",46,"0","-0.024"
"CU","2022-10-03","74","-2.43","6.35","Kremer, Dean",665489,665152,"field_out","hit_into_play",,,,,2,"Vladimir Guerrero Jr.  flies out to center fielder Cedric Mullins.","R","R","R","BAL","TOR","X",8,"fly_ball",0,0,2022,"1.24","-0.85","0.1","3.19",,,,0,6,"Top",121.96,86.45,,,668939,,,2.96513568192357,-107.55455284445615,2.364782914620493,8.903389796147938,21.248133661152945,-39.43871091658006,"3.54","1.65",281,"98.8",48,"72.9",2721,"5.8",663273,665152,668939,663624,596059,683002,622761,679631,656775,669065,"54.68",0.006,0.005,"0",1,0,0,3,43,1,"Curveball",1,4,4,1,4,1,4,1,"Standard","Standard",43,"0.01","-0.221"
"FF","2022-10-03","92.9","-2.63","6.05","Kremer, Dean",666182,665152,"strikeout","called_strike",,,,,3,"Bo Bichette called out on strikes.","R","R","R","BAL","TOR","S",2,,2,2,2022,"-0.61","1.45","0.71","2.92",,,,2,5,"Top",,,,,668939,,,9.85972957834084,-134.76386200012576,-5.311369490252155,-9.739093866758715,32.10966430290765,-13.51790227212192,"3.42","1.63",,,,"92.3",2123,"6.3",663273,665152,668939,663624,596059,683002,622761,679631,656775,669065,"54.19",,,"0",1,0,0,,38,5,"4-Seam Fastball",1,4,4,1,4,1,4,1,"Standard","Strategic",208,"0.005","-0.083"
