"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","spin_axis","delta_home_win_exp","delta_run_exp"
"FF","2022-10-02","95.4","-1.73","5.57","Wheeler, Zack",645302,554430,"strikeout","called_strike",,,,,9,"Victor Robles called out on strikes.","R","R","R","WSH","PHI","S",2,,3,2,2022,"-0.84","1.45","0.65","1.4",,514917,,2,5,"Bot",,,,,592663,,,8.322945670773725,-138.53761889510238,-8.746709461838115,-12.684639768962837,29.85243922711585,-11.734009503986725,"3.31","1.44",,,,"97.3",2415,"7.4",661096,554430,592663,656555,516416,664761,681082,656941,663837,592206,"53.08",,,"0",1,0,0,,46,7,"4-Seam Fastball",0,7,0,7,7,0,0,7,"Standard","Standard",222,"-0.005","-0.309"
"SI","2022-10-02","94.6","-1.73","5.41","Wheeler, Zack",645302,554430,,"foul",,,,,13,"Victor Robles called out on strikes.","R","R","R","WSH","PHI","S",,,3,2,2022,"-1.34","0.95","-0.73","1.19",,514917,,2,5,"Bot",,,,,592663,,,5.7012694186389865,-137.4454415644516,-7.472093490839091,-18.243111321194235,34.61585859563224,-18.636630655322072,"3.37","1.49",,,,"95.7",2204,"7.3",661096,554430,592663,656555,516416,664761,681082,656941,663837,592206,"53.2",,,,,,,,46,6,"Sinker",0,7,0,7,7,0,0,7,"Standard","Standard",220,"0","0"
"FF","2022-10-02","94.6","-1.76","5.53","Wheeler, Zack",645302,554430,,"ball",,,,,14,"Victor Robles called out on strikes.","R","R","R","WSH","PHI","B",,,2,2,2022,"-1.01","1.41","1.01","2.11",,514917,,2,5,"Bot",,,,,592663,,,9.637590302926542,-137.3003790026307,-6.454750097930244,-14.909667691529599,30.629458962749244,-13.01540501609668,"3.41","1.52",,,,"96.1",2280,"7.3",661096,554430,592663,656555,516416,664761,681082,656941,663837,592206,"53.18",,,,,,,,46,5,"4-Seam Fastball",0,7,0,7,7,0,0,7,"Standard","Standard",225,"0","0.051"
"SI","2022-10-02","93.5","-1.84","5.48","Wheeler, Zack",645302,554430,,"foul",,,,,13,"Victor Robles called out on strikes.","R","R","R","WSH","PHI","S",,,2,1,2022,"-1.27","0.86","-1.12","1.93",,514917,,2,5,"Bot",,,,,592663,,,4.768859570673172,-136.09550643354336,-5.417996833425064,-16.883607227005516,29.023628133784324,-20.526949570027668,"3.37","1.49",,,,"95.6",2116,"7.4",661096,554430,592663,656555,516416,664761,681082,656941,663837,592206,"53.06",,,,,,,,46,4,"Sinker",0,7,0,7,7,0,0,7,"Standard","Standard",225,"0","-0.074"
"FC","2022-10-02","89.7","-1.81","5.43","Wheeler, Zack",645302,554430,,"ball",,,,,14,"Victor Robles called out on strikes.","R","R","R","WSH","PHI","B",,,1,1,2022,"0.09","0.57","1.41","0.6",,514917,,2,5,"Bot",,,,,592663,,,7.9156576900966735,-130.37946726868083,-7.341069396224444,-0.4500521386734854,24.25690286968267,-24.329990552131708,"3.34","1.55",,,,"91.6",2488,"7.2",661096,554430,592663,656555,516416,664761,681082,656941,663837,592206,"53.26",,,,,,,,46,3,"Cutter",0,7,0,7,7,0,0,7,"Standard","Standard",207,"0","0.036"
"SI","2022-10-02","93.4","-1.66","5.59","Wheeler, Zack",645302,554430,,"foul",,,,,4,"Victor Robles called out on strikes.","R","R","R","WSH","PHI","S",,,1,0,2022,"-1.48","0.76","-0.35","2.16",,514917,,2,5,"Bot",,,,,592663,,,6.766082857592777,-135.81952094999403,-4.832441095962788,-19.811600447647212,29.351195218107918,-21.897741499150122,"3.37","1.49",,,,"95.1",2011,"7.3",661096,554430,592663,656555,516416,664761,681082,656941,663837,592206,"53.2",,,,,,,,46,2,"Sinker",0,7,0,7,7,0,0,7,"Standard","Standard",221,"0","-0.053"
"SI","2022-10-02","92.8","-1.88","5.54","Wheeler, Zack",645302,554430,,"ball",,,,,13,"Victor Robles called out on strikes.","R","R","R","WSH","PHI","B",,,0,0,2022,"-1.35","0.92","-1.27","1.71",,514917,,2,5,"Bot",,,,,592663,,,4.601971002690717,-135.01080071880148,-6.114874949951708,-17.480400790607508,29.9827140659857,-19.719897449364314,"3.41","1.55",,,,"94.4",2076,"7.3",661096,554430,592663,656555,516416,664761,681082,656941,663837,592206,"53.23",,,,,,,,46,1,"Sinker",0,7,0,7,7,0,0,7,"Standard","Standard",221,"0","0.037"
"FC","2022-10-02","91.5","-1.8","5.51","Wheeler, Zack",545121,554430,"field_out","hit_into_play",,,,,6,"Ildemaro Vargas lines out to center fielder Matt Vierling.","R","L","R","WSH","PHI","X",8,"line_drive",0,0,2022,"-0.46","1.15","0.47","2.59",,514917,,1,5,"Bot",115.79,65.93,,,592663,,,6.864331513402616,-133.26565026450717,-4.160589836314269,-6.780157284177133,23.784777421294738,-17.749228024275112,"3.24","1.49",331,"96.6",20,"93.8",2402,"7.2",661096,554430,592663,656555,516416,664761,681082,656941,663837,592206,"53.26",0.277,0.317,"0",1,0,0,4,45,1,"Cutter",0,7,0,7,7,0,0,7,"Standard","Standard",212,"-0.008","-0.333"
"FF","2022-10-02","94.1","-1.71","5.59","Wheeler, Zack",514917,554430,"double","hit_into_play",,,,,8,"Cesar Hernandez doubles (28) on a sharp line drive to right fielder Nick Castellanos.","R","L","R","WSH","PHI","X",9,"line_drive",3,2,2022,"-0.68","1.28","0.23","1.99",,,,1,5,"Bot",217,99,,,592663,,,6.636370532428633,-136.89906056862787,-6.59595866628373,-9.901594227420224,27.68634976795239,-14.792755722047694,"3.37","1.57",190,"102",10,"95.9",2240,"7.2",661096,554430,592663,656555,516416,664761,681082,656941,663837,592206,"53.33",0.809,0.764,"1.25",1,1,1,4,44,9,"4-Seam Fastball",0,7,0,7,7,0,0,7,"Standard","Standard",221,"0.008","0.369"
"CH","2022-10-02","87.3","-1.86","5.66","Wheeler, Zack",514917,554430,,"ball",,,,,11,"Cesar Hernandez doubles (28) on a sharp line drive to right fielder Nick Castellanos.","R","L","R","WSH","PHI","B",,,2,2,2022,"-1.45","1.1","-1.73","2.86",,,,1,5,"Bot",,,,,592663,,,3.3980727703037195,-127.06588078953318,-2.8249816171950832,-16.37020681805844,28.36016592826572,-19.956175538915947,"3.34","1.59",,,,"88.7",1440,"7.4",661096,554430,592663,656555,516416,664761,681082,656941,663837,592206,"53.12",,,,,,,,44,8,"Changeup",0,7,0,7,7,0,0,7,"Standard","Standard",239,"0","0.073"
