"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","spin_axis","delta_home_win_exp","delta_run_exp"
"FF","2022-10-02","94.4","-1.67","5.62","Wheeler, Zack",514917,554430,,"foul",,,,,8,"Cesar Hernandez doubles (28) on a sharp line drive to right fielder Nick Castellanos.","R","L","R","WSH","PHI","S",,,2,2,2022,"-0.89","1.5","-0.14","2.05",,,,1,5,"Bot",,,,,592663,,,6.074634295697475,-137.11529359458373,-6.99546115995043,-12.568814485219987,32.360394767674514,-11.866793353680043,"3.37","1.57",194,"70",39,"95.7",2269,"7.3",661096,554430,592663,656555,516416,664761,681082,656941,663837,592206,"53.18",,,,,,,,44,7,"4-Seam Fastball",0,7,0,7,7,0,0,7,"Standard","Standard",220,"0","0"
"FC","2022-10-02","91.5","-1.9","5.56","Wheeler, Zack",514917,554430,,"foul",,,,,6,"Cesar Hernandez doubles (28) on a sharp line drive to right fielder Nick Castellanos.","R","L","R","WSH","PHI","S",,,2,2,2022,"-0.46","1.14","0.8","2.3",,,,1,5,"Bot",,,,,592663,,,7.947907348154576,-132.95330757970035,-4.883763745275196,-7.138961112159584,28.800838149250417,-17.736423980908846,"3.37","1.57",375,"104.5",24,"93",2483,"7.3",661096,554430,592663,656555,516416,664761,681082,656941,663837,592206,"53.2",,,,,,,,44,6,"Cutter",0,7,0,7,7,0,0,7,"Standard","Standard",211,"0","0"
"FC","2022-10-02","88.7","-1.94","5.45","Wheeler, Zack",514917,554430,,"ball",,,,,14,"Cesar Hernandez doubles (28) on a sharp line drive to right fielder Nick Castellanos.","R","L","R","WSH","PHI","B",,,1,2,2022,"0.15","0.48","1.44","-0.04",,,,1,5,"Bot",,,,,592663,,,8.10521448338462,-128.9322476968642,-8.56635305884831,0.2227584821281858,23.28492207280635,-25.391321550886346,"3.3","1.57",,,,"90.8",2358,"7.3",661096,554430,592663,656555,516416,664761,681082,656941,663837,592206,"53.16",,,,,,,,44,5,"Cutter",0,7,0,7,7,0,0,7,"Standard","Standard",205,"0","0.023"
"SI","2022-10-02","93.9","-1.85","5.53","Wheeler, Zack",514917,554430,,"foul",,,,,4,"Cesar Hernandez doubles (28) on a sharp line drive to right fielder Nick Castellanos.","R","L","R","WSH","PHI","S",,,1,2,2022,"-1.51","0.81","-0.41","2.8",,,,1,5,"Bot",,,,,592663,,,7.186863269105098,-136.6271177061131,-3.194603010683337,-20.454905759089183,30.353112012261946,-21.47641686194778,"3.37","1.57",233,"75.9",42,"95.5",2072,"7.2",661096,554430,592663,656555,516416,664761,681082,656941,663837,592206,"53.26",,,,,,,,44,4,"Sinker",0,7,0,7,7,0,0,7,"Standard","Standard",221,"0","0"
"FC","2022-10-02","90.1","-1.9","5.52","Wheeler, Zack",514917,554430,,"foul",,,,,7,"Cesar Hernandez doubles (28) on a sharp line drive to right fielder Nick Castellanos.","R","L","R","WSH","PHI","S",,,1,1,2022,"-0.23","0.66","-0.58","1.73",,,,1,5,"Bot",,,,,592663,,,3.8398562430296006,-131.19947559910997,-4.916587539987747,-3.485263539333151,27.985244582163386,-23.76636673197258,"3.37","1.57",215,"79.7",52,"91.6",2384,"7.2",661096,554430,592663,656555,516416,664761,681082,656941,663837,592206,"53.3",,,,,,,,44,3,"Cutter",0,7,0,7,7,0,0,7,"Standard","Standard",215,"0","-0.036"
"FF","2022-10-02","93.2","-1.79","5.68","Wheeler, Zack",514917,554430,,"called_strike",,,,,4,"Cesar Hernandez doubles (28) on a sharp line drive to right fielder Nick Castellanos.","R","L","R","WSH","PHI","S",,,1,0,2022,"-0.84","1.43","-0.76","2.46",,,,1,5,"Bot",,,,,592663,,,4.590458550905417,-135.53728157014962,-5.6692438893588815,-11.397228474527962,33.83767617394611,-13.540632593527205,"3.44","1.66",,,,"94.4",2308,"7.3",661096,554430,592663,656555,516416,664761,681082,656941,663837,592206,"53.16",,,,,,,,44,2,"4-Seam Fastball",0,7,0,7,7,0,0,7,"Strategic","Standard",221,"0","-0.031"
"FC","2022-10-02","91.4","-1.86","5.68","Wheeler, Zack",514917,554430,,"ball",,,,,14,"Cesar Hernandez doubles (28) on a sharp line drive to right fielder Nick Castellanos.","R","L","R","WSH","PHI","B",,,0,0,2022,"-0.56","1.5","0.03","1.05",,,,1,5,"Bot",,,,,592663,,,6.074850211501736,-132.55970764549318,-8.967129669004533,-8.109452779664828,36.657561227587244,-12.634018872014803,"3.34","1.5",,,,"91.7",2192,"7.3",661096,554430,592663,656555,516416,664761,681082,656941,663837,592206,"53.19",,,,,,,,44,1,"Cutter",0,7,0,7,7,0,0,7,"Standard","Standard",219,"0","0.023"
"CU","2022-10-02","78.3","-2.13","5.69","Wheeler, Zack",671277,554430,"field_out","hit_into_play",,,,,13,"Luis Garcia lines out to center fielder Matt Vierling.","R","L","R","WSH","PHI","X",8,"line_drive",0,0,2022,"0.76","-0.51","-1.11","2.35",,,,0,5,"Bot",111.33,95.85,,,592663,,,0.8133420418273347,-114.0170370195241,0.6130888638584733,6.493468565217164,21.004229341470765,-36.95231856219351,"3.48","1.73",261,"76.3",28,"79.1",2324,"6.8",661096,554430,592663,656555,516416,664761,681082,656941,663837,592206,"53.66",0.457,0.437,"0",1,0,0,3,43,1,"Curveball",0,7,0,7,7,0,0,7,"Standard","Standard",63,"-0.005","-0.221"
"SI","2022-10-02","94.5","-1.83","5.49","Wheeler, Zack",572228,554430,"field_out","hit_into_play",,,,,11,"Luke Voit grounds out softly, third baseman Alec Bohm to first baseman Rhys Hoskins.","R","R","R","WSH","PHI","X",5,"ground_ball",1,1,2022,"-1.68","1.18","-1.35","3.3",,,,2,4,"Bot",107.72,174.45,,,592663,,,5.080354125819584,-137.422254747489,-2.6135768038259437,-22.301364429903842,34.84644238856881,-16.979356368689814,"3.4","1.66",44,"37.9",11,"95.7",2127,"7.3",661096,554430,592663,656555,516416,664761,681082,656941,663837,592206,"53.17",0.197,0.182,"0",1,0,0,1,35,3,"Sinker",0,4,0,4,4,0,0,4,"Standard","Standard",221,"-0.007","-0.093"
"FF","2022-10-02","94","-1.78","5.49","Wheeler, Zack",572228,554430,,"ball",,,,,3,"Luke Voit grounds out softly, third baseman Alec Bohm to first baseman Rhys Hoskins.","R","R","R","WSH","PHI","B",,,0,1,2022,"-1.06","1.64","0.78","3.52",,,,2,4,"Bot",,,,,592663,,,9.200209566378641,-136.37169645685765,-2.9592310616508497,-15.513447027282877,36.24420759708636,-11.427288579262688,"3.46","1.68",,,,"95",2235,"7.5",661096,554430,592663,656555,516416,664761,681082,656941,663837,592206,"53",,,,,,,,35,2,"4-Seam Fastball",0,4,0,4,4,0,0,4,"Standard","Standard",221,"0","0.011"
"CU","2022-10-02","79.6","-1.81","5.71","Wheeler, Zack",572228,554430,,"called_strike",,,,,1,"Luke Voit grounds out softly, third baseman Alec Bohm to first baseman Rhys Hoskins.","R","R","R","WSH","PHI","S",,,0,0,2022,"1.06","-0.85","-0.3","3.14",,,,2,4,"Bot",,,,,592663,,,1.3189656912658665,-115.78293992175702,2.913822055322297,9.108019967959601,25.94684080950702,-40.6396375899295,"3.44","1.62",,,,"80",2376,"7",661096,554430,592663,656555,516416,664761,681082,656941,663837,592206,"53.45",,,,,,,,35,1,"Curveball",0,4,0,4,4,0,0,4,"Standard","Standard",55,"0","-0.017"
"FC","2022-10-02","90.3","-1.94","5.36","Wheeler, Zack",608841,554430,"strikeout","called_strike",,,,,11,"Joey Meneses called out on strikes.","R","R","R","WSH","PHI","S",2,,2,2,2022,"0.04","0.84","-0.91","2.96",,,,1,4,"Bot",,,,,592663,,,2.5298839522624363,-131.64218902801616,-1.9074499070152173,-0.03374157807574452,25.570747673079836,-22.13533785268734,"3.5","1.68",,,,"92.6",2379,"7.4",661096,554430,592663,656555,516416,664761,681082,656941,663837,592206,"53.12",,,"0",1,0,0,,34,6,"Cutter",0,4,0,4,4,0,0,4,"Standard","Standard",195,"-0.012","-0.134"
"FC","2022-10-02","89.8","-1.82","5.37","Wheeler, Zack",608841,554430,,"ball",,,,,14,"Joey Meneses called out on strikes.","R","R","R","WSH","PHI","B",,,1,2,2022,"0.24","0.76","1.27","1.1",,,,1,4,"Bot",,,,,592663,,,7.323348608628232,-130.5678229892265,-6.376624135534644,1.3536802791548013,24.721457917258732,-22.303475540964076,"3.6","1.75",,,,"92.2",2504,"7.5",661096,554430,592663,656555,516416,664761,681082,656941,663837,592206,"52.96",,,,,,,,34,5,"Cutter",0,4,0,4,4,0,0,4,"Standard","Standard",180,"0","0.023"
"FF","2022-10-02","95.2","-1.81","5.52","Wheeler, Zack",608841,554430,,"foul",,,,,2,"Joey Meneses called out on strikes.","R","R","R","WSH","PHI","S",,,1,2,2022,"-1","1.41","0.06","3.27",,,,1,4,"Bot",,,,,592663,,,7.3249645407814645,-138.37526722516637,-3.4918690707798508,-14.535315562963866,31.510317943373252,-13.467351135480412,"3.61","1.69",191,"81.4",16,"97.1",2348,"7.5",661096,554430,592663,656555,516416,664761,681082,656941,663837,592206,"53.01",,,,,,,,34,4,"4-Seam Fastball",0,4,0,4,4,0,0,4,"Standard","Standard",221,"0","0"
"SI","2022-10-02","94","-1.61","5.48","Wheeler, Zack",608841,554430,,"foul_tip",,,,,11,"Joey Meneses called out on strikes.","R","R","R","WSH","PHI","S",,,1,1,2022,"-1.57","0.97","-0.74","3.87",,,,1,4,"Bot",,,,,592663,,,5.852975399292937,-136.77816374601946,-0.5791011101278856,-21.00854208629752,31.6926421266022,-20.161400167630454,"3.61","1.69",,,,"95.7",2017,"7.4",661096,554430,592663,656555,516416,664761,681082,656941,663837,592206,"53.14",,,,,,,,34,3,"Sinker",0,4,0,4,4,0,0,4,"Standard","Standard",222,"0","-0.036"
"SI","2022-10-02","94.8","-1.74","5.5","Wheeler, Zack",608841,554430,,"foul",,,,,8,"Joey Meneses called out on strikes.","R","R","R","WSH","PHI","S",,,1,0,2022,"-1.39","0.87","-0.02","2.22",,,,1,4,"Bot",,,,,592663,,,7.790966720829866,-137.7275822818094,-4.901895487065074,-19.49539807457217,31.198842339100413,-20.228448420911988,"3.61","1.69",270,"88.8",23,"96.6",2232,"7.4",661096,554430,592663,656555,516416,664761,681082,656941,663837,592206,"53.05",,,,,,,,34,2,"Sinker",0,4,0,4,4,0,0,4,"Standard","Standard",220,"0","-0.031"
"SI","2022-10-02","94.9","-1.81","5.47","Wheeler, Zack",608841,554430,,"ball",,,,,13,"Joey Meneses called out on strikes.","R","R","R","WSH","PHI","B",,,0,0,2022,"-1.41","0.96","-1.15","2.39",,,,1,4,"Bot",,,,,592663,,,4.957795686554204,-138.05538554526822,-4.600163939558842,-19.07241281744934,31.450490069989588,-19.09786843707183,"3.62","1.75",,,,"96.7",2163,"7.4",661096,554430,592663,656555,516416,664761,681082,656941,663837,592206,"53.14",,,,,,,,34,1,"Sinker",0,4,0,4,4,0,0,4,"Standard","Standard",223,"0","0.023"
"FF","2022-10-02","95.2","-1.66","5.64","Wheeler, Zack",682928,554430,"strikeout","swinging_strike",,,,,11,"CJ Abrams strikes out swinging.","R","L","R","WSH","PHI","S",2,,3,2,2022,"-0.83","1.53","-1","2.76",,,,0,4,"Bot",,,,,592663,,,3.647859008886647,-138.60978122020563,-5.495942973660552,-11.502521502278135,28.965388351690308,-11.435309482884987,"3.53","1.62",,,,"97.3",2237,"7.3",661096,554430,592663,656555,516416,664761,681082,656941,663837,592206,"53.18",,,"0",1,0,0,,33,7,"4-Seam Fastball",0,4,0,4,4,0,0,4,"Standard","Standard",217,"-0.019","-0.299"
"FF","2022-10-02","95.5","-1.76","5.58","Wheeler, Zack",682928,554430,,"foul",,,,,3,"CJ Abrams strikes out swinging.","R","L","R","WSH","PHI","S",,,3,2,2022,"-0.73","1.56","0.37","3.24",,,,0,4,"Bot",,,,,592663,,,7.393326893163169,-138.8839703518507,-4.118578605604689,-11.087658032316693,31.800775359146456,-11.29202674743234,"3.53","1.62",135,"78.3",70,"97.3",2304,"7.4",661096,554430,592663,656555,516416,664761,681082,656941,663837,592206,"53.11",,,,,,,,33,6,"4-Seam Fastball",0,4,0,4,4,0,0,4,"Standard","Standard",218,"0","0"
"FC","2022-10-02","89.7","-1.92","5.45","Wheeler, Zack",682928,554430,,"ball",,,,,14,"CJ Abrams strikes out swinging.","R","L","R","WSH","PHI","B",,,2,2,2022,"0.11","0.68","1.25","1",,,,0,4,"Bot",,,,,592663,,,7.769343488983252,-130.36553686643867,-6.582951674704045,-0.330819618084918,26.55079460311942,-23.197634638945253,"3.6","1.71",,,,"91.7",2388,"7.5",661096,554430,592663,656555,516416,664761,681082,656941,663837,592206,"53.04",,,,,,,,33,5,"Cutter",0,4,0,4,4,0,0,4,"Standard","Standard",200,"0","0.103"
"FC","2022-10-02","91.6","-1.95","5.51","Wheeler, Zack",682928,554430,,"foul",,,,,6,"CJ Abrams strikes out swinging.","R","L","R","WSH","PHI","S",,,2,1,2022,"-0.28","0.97","0.43","2.66",,,,0,4,"Bot",,,,,592663,,,6.730152182216132,-133.31525105436006,-3.50308020840477,-4.734101438669995,27.851668476851955,-20.037533288086838,"3.53","1.62",98,"87.7",78,"93.5",2488,"7.3",661096,554430,592663,656555,516416,664761,681082,656941,663837,592206,"53.19",,,,,,,,33,4,"Cutter",0,4,0,4,4,0,0,4,"Standard","Standard",204,"0","-0.066"
"FF","2022-10-02","94","-1.76","5.64","Wheeler, Zack",682928,554430,,"foul",,,,,9,"CJ Abrams strikes out swinging.","R","L","R","WSH","PHI","S",,,2,0,2022,"-0.94","1.53","0.52","2.17",,,,0,4,"Bot",,,,,592663,,,8.184324578811536,-136.501870171498,-6.740412031282325,-13.711254152382244,33.22654151306687,-11.760665394766095,"3.53","1.62",242,"75.8",31,"95.5",2293,"7.5",661096,554430,592663,656555,516416,664761,681082,656941,663837,592206,"53.01",,,,,,,,33,3,"4-Seam Fastball",0,4,0,4,4,0,0,4,"Standard","Standard",223,"0","-0.056"
"FF","2022-10-02","93.2","-1.78","5.63","Wheeler, Zack",682928,554430,,"ball",,,,,12,"CJ Abrams strikes out swinging.","R","L","R","WSH","PHI","B",,,1,0,2022,"-0.74","1.44","1.33","3.15",,,,0,4,"Bot",,,,,592663,,,9.801646501615629,-135.30926710297038,-3.7773587578271517,-11.286695337310505,31.15694608330362,-13.899110814148393,"3.53","1.66",,,,"94.5",2341,"7.3",661096,554430,592663,656555,516416,664761,681082,656941,663837,592206,"53.18",,,,,,,,33,2,"4-Seam Fastball",0,4,0,4,4,0,0,4,"Standard","Standard",215,"0","0.063"
"FC","2022-10-02","90.3","-1.85","5.56","Wheeler, Zack",682928,554430,,"ball",,,,,14,"CJ Abrams strikes out swinging.","R","L","R","WSH","PHI","B",,,0,0,2022,"-0.21","0.93","1.13","2.28",,,,0,4,"Bot",,,,,592663,,,8.020690494490395,-131.33026117791016,-4.2673389656797145,-4.136913973918181,27.306311970742314,-20.69577939788542,"3.53","1.62",,,,"91.9",2311,"7.2",661096,554430,592663,656555,516416,664761,681082,656941,663837,592206,"53.28",,,,,,,,33,1,"Cutter",0,4,0,4,4,0,0,4,"Standard","Standard",213,"0","0.033"
"SI","2022-10-02","96.1","-1.7","5.29","Wheeler, Zack",657041,554430,"field_out","hit_into_play",,,,,7,"Lane Thomas grounds out, third baseman Alec Bohm to first baseman Rhys Hoskins.","R","R","R","WSH","PHI","X",5,"ground_ball",2,2,2022,"-1.47","0.97","-0.63","1.58",545121,,,2,3,"Bot",100.93,172.42,,,592663,,,6.300218913361532,-139.61135009164005,-6.505608138601733,-20.64676611094081,34.68849787462092,-18.123963348548426,"3.09","1.47",5,"87.2",-17,"97.5",2296,"7.4",661096,554430,592663,656555,516416,664761,681082,656941,663837,592206,"53.11",0.1,0.091,"0",1,0,0,2,24,5,"Sinker",0,1,0,1,1,0,0,1,"Standard","Strategic",222,"-0.045","-0.285"
"FF","2022-10-02","96.8","-1.6","5.47","Wheeler, Zack",657041,554430,,"ball",,,,,12,"Lane Thomas grounds out, third baseman Alec Bohm to first baseman Rhys Hoskins.","R","R","R","WSH","PHI","B",,,1,2,2022,"-0.99","1.35","1.38","2.8",545121,,,2,3,"Bot",,,,,592663,,,10.39363439112221,-140.52283696152608,-4.687773197234161,-15.559245501309954,32.40640576882754,-13.333767138840605,"3.07","1.5",,,,"98.3",2432,"7.3",661096,554430,592663,656555,516416,664761,681082,656941,663837,592206,"53.2",,,,,,,,24,4,"4-Seam Fastball",0,1,0,1,1,0,0,1,"Standard","Strategic",220,"0","0.038"
"SI","2022-10-02","95.5","-1.74","5.42","Wheeler, Zack",657041,554430,,"called_strike",,,,,7,"Lane Thomas grounds out, third baseman Alec Bohm to first baseman Rhys Hoskins.","R","R","R","WSH","PHI","S",,,1,1,2022,"-1.35","1.11","-0.34","1.55",545121,,,2,3,"Bot",,,,,592663,,,6.873877239128787,-138.85847678265705,-7.221275044289373,-18.98041069572053,30.755397092879285,-16.30501910427246,"3","1.52",,,,"97.6",2205,"7.5",661096,554430,592663,656555,516416,664761,681082,656941,663837,592206,"53.01",,,,,,,,24,3,"Sinker",0,1,0,1,1,0,0,1,"Standard","Strategic",221,"0","-0.099"
"SI","2022-10-02","94.6","-1.74","5.44","Wheeler, Zack",657041,554430,,"ball",,,,,13,"Lane Thomas grounds out, third baseman Alec Bohm to first baseman Rhys Hoskins.","R","R","R","WSH","PHI","B",,,0,1,2022,"-1.77","0.75","-1.6","1.99",545121,,,2,3,"Bot",,,,,592663,,,4.401082814151557,-137.64726540870473,-5.0587619162580415,-23.479905105394387,31.83326973158579,-21.716265799635856,"2.98","1.5",,,,"96.2",2087,"7.3",661096,554430,592663,656555,516416,664761,681082,656941,663837,592206,"53.21",,,,,,,,24,2,"Sinker",0,1,0,1,1,0,0,1,"Standard","Strategic",226,"0","0.031"
"SI","2022-10-02","94.6","-1.6","5.49","Wheeler, Zack",657041,554430,,"called_strike",,,,,7,"Lane Thomas grounds out, third baseman Alec Bohm to first baseman Rhys Hoskins.","R","R","R","WSH","PHI","S",,,0,0,2022,"-1.16","1","-0.32","2",545121,,,2,3,"Bot",,,,,592663,,,6.027841375189389,-137.74049937210643,-5.884906922566225,-16.02230841577484,25.600500937938204,-18.29322017422447,"3.14","1.52",,,,"97.2",1985,"7.3",661096,554430,592663,656555,516416,664761,681082,656941,663837,592206,"53.15",,,,,,,,24,1,"Sinker",0,1,0,1,1,0,0,1,"Standard","Strategic",219,"0","-0.05"
"FF","2022-10-02","96","-1.64","5.56","Wheeler, Zack",656180,554430,"strikeout_double_play","swinging_strike",,,,,2,"Nationals challenged (tag play), call on the field was upheld: Riley Adams strikes out swinging and Victor Robles caught stealing 2nd, catcher J.  T. Realmuto to shortstop Bryson Stott to catcher J.  T. Realmuto.","R","R","R","WSH","PHI","S",2,,2,2,2022,"-0.84","1.22","0.2","3.06",545121,,645302,0,3,"Bot",,,,,592663,,,6.908616120283974,-139.67323879381985,-3.8539354305661986,-12.47703675621252,30.963268941023827,-15.471704895624077,"3.37","1.61",,,,"97.8",2219,"7.3",661096,554430,592663,656555,516416,664761,681082,656941,663837,592206,"53.2",,,"0",1,0,0,,23,5,"4-Seam Fastball",0,1,0,1,1,0,0,1,"Standard","Standard",221,"-0.165","-0.475"
